episodes,total_reward,reward,time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
11,262.64972598212427,-29.078401777938883,1.560000000000001,-0.5101105938634466,4.1006498965787195,0.0,6.092535507029183,5.3451771052348676,0.0,0.3131396095524721,4.145903456810459,-14.456365649088182,-3.8692840569016544,18.94161340993958,0.0,442.07163865962065,442.21637980413857,440.62424417582776,444.35836485258557
12,310.5142678551267,-12.983558837721224,1.620000000000001,-0.12287020754978235,0.7702712365493474,0.0,3.0356231091688457,0.2227367888736005,0.0,0.9788765813173337,1.6813911359054559,-15.45084593815116,-18.074957200546617,18.918738379269232,0.0,442.07163865962065,442.21637980413857,440.62424417582776,444.35836485258557
13,255.1129713741091,-16.30174191526007,1.620000000000001,-0.40072873827946437,1.7115098084102145,0.0,3.378432960100648,0.2575414272894321,0.0,0.55546997420446,2.4297187986054105,-14.726315692573046,-13.51690233117016,18.957576484180205,0.0,442.07163865962065,442.21637980413857,440.62424417582776,444.35836485258557
14,280.722297342573,-9.683307808312687,1.620000000000001,-0.4697793716266516,-1.0200040202712406,0.0,0.21421427677451632,0.22139251148975525,0.0,0.6165961108409352,0.3349567530814733,-10.321296873535593,-18.925949767637906,18.95579968420251,0.0,442.07163865962065,442.21637980413857,440.62424417582776,444.35836485258557
15,296.85369918801274,-5.693793170453413,1.3800000000000008,-0.48974566000601133,-0.6595259040151148,0.0,2.3092498589124,1.9311366266169525,0.0,-0.5591928964978935,-3.380474228800908,-16.957508159180357,-18.915663734271348,18.94413055317472,0.0,442.07163865962065,442.21637980413857,440.62424417582776,444.35836485258557
16,225.33038639910336,-18.69749443117793,1.5000000000000009,-0.5694911810441492,4.142040871897956,0.0,1.9644933866738956,4.198573756517391,0.0,-1.2508101648523986,4.598592195021352,-14.033425668045142,-10.97861801779859,18.887423986163853,0.0,442.07163865962065,442.21637980413857,440.62424417582776,444.35836485258557
17,263.10619429325476,-6.821191275115315,1.3800000000000008,-0.5404461173845212,1.8092069492490788,0.0,1.6426660830767243,1.8859140211986887,0.0,-0.44675817720066463,3.4158218175523216,-17.099709163964896,-18.467944742155385,18.88714771678434,0.0,442.07163865962065,442.21637980413857,440.62424417582776,444.35836485258557
18,163.11933358975057,-13.512550098131182,1.4400000000000008,1.194365462088318,4.051537785839783,0.0,6.2075563227482045,0.3119908783674674,0.0,5.606113117355764,6.185381846078378,-14.453879373218806,-18.493400876371016,3.071843307183164,0.0,442.07163865962065,442.21637980413857,440.62424417582776,444.35836485258557
19,-2.2027414260437226,-32.05271167292658,1.8000000000000012,1.6898268070197835,4.349020394491399,0.0,5.025006022575681,6.121865628632712,0.0,2.9455082744967696,3.026357569464038,-13.034046792493836,-18.369041996206516,-0.12959009978175426,0.0,442.07163865962065,442.21637980413857,440.62424417582776,444.35836485258557
20,-788.58111198811,-80.89669777041307,3.2400000000000024,21.987530021189837,-2.78375437300192,0.0,4.335895088972865,5.737109018247436,0.0,18.836331237665224,-9.564747315913436,-4.321497838079506,-1.4885851297439272,-0.07492445438450297,0.0,442.07163865962065,442.21637980413857,440.62424417582776,444.35836485258557
21,-212.7347433037293,-57.563045470280905,1.4400000000000008,-0.04750628556177025,17.547421865255032,0.0,3.6225141472544067,0.049414135088692746,0.0,-0.265718626638562,15.633726189247797,-14.22061598517499,-18.910386667411043,0.02386897157197014,0.0,442.07163865962065,442.21637980413857,440.62424417582776,444.35836485258557
22,-93.47330298680504,-41.4215175117682,1.0800000000000005,0.1426008546613258,10.134334312087983,0.0,0.4062235697612486,6.201828705114929,0.0,0.49797358168912004,18.300471680901243,-12.523731519906153,-16.78377137832754,-0.10654924354791566,0.0,442.07163865962065,442.21637980413857,440.62424417582776,444.35836485258557
23,285.17280704188255,-6.790184472273847,1.4400000000000008,-1.200283591645704,1.6399160421084016,0.0,2.033535647791094,0.3028653532843437,0.0,-3.245024807180127,0.024258158221719672,-14.034369115438661,-16.947476814914364,0.3153878717210735,0.0,442.07163865962065,442.21637980413857,440.62424417582776,444.35836485258557
24,47.91414240299242,-16.37377629908419,0.9600000000000005,0.10911109724316244,-0.20326983265110382,0.0,4.264650723141601,6.220944704725218,0.0,0.39478344162703194,0.9639945096840219,-18.077783266346678,-5.6371088545242,-0.09263858017755107,0.0,442.07163865962065,442.21637980413857,440.62424417582776,444.35836485258557
25,-78.8030428635009,-31.224783283055547,1.740000000000001,0.5206719383623463,5.017229858301501,0.0,3.8866162644976985,6.239259448784098,0.0,0.7932586145251388,-1.5597669618477223,-21.13591541676642,1.369316994349889,-0.03638432326014338,0.0,442.07163865962065,442.21637980413857,440.62424417582776,444.35836485258557
26,7498.887018699441,140.49023702046833,5.0399999999999805,-15.910190410730296,2.5853813844726994,61.77257513348345,0.16638963253809802,0.8520960538862212,0.0,-11.44159156886078,1.9769073729616233,9.558113898302008,0.04847989967493314,0.35205060140749744,0.0,442.07163865962065,442.21637980413857,440.62424417582776,444.35836485258557
27,-32.7099643576655,-34.8319625412921,1.2600000000000007,0.13054672671958234,7.642204867099887,0.0,0.3188595141427193,6.221125334191248,0.0,0.35728420699961166,7.2844821537381925,-19.354825537983537,-8.603177152965811,-0.09428121055664515,0.0,442.07163865962065,442.21637980413857,440.62424417582776,444.35836485258557
28,5720.76707722628,128.64198729930047,5.0399999999999805,12.178357088929427,-9.88907350954556,62.56063853538335,5.907048303791466,0.20019337206498466,0.0,3.6170129350789457,-8.147647792327922,12.03338229037276,0.021869165018512802,0.3211411493239226,0.0,442.07163865962065,442.21637980413857,440.62424417582776,444.35836485258557
29,4379.574260167845,67.99823360829862,5.0399999999999805,28.38029339179073,-2.889765539927363,57.57910532074943,6.132789911176671,5.867501591925219,0.0,13.985674019162273,-2.340266227711416,9.002647956426328,-0.07243471348510468,0.0371543129486881,0.0,442.07163865962065,442.21637980413857,440.62424417582776,444.35836485258557
30,6946.268211082516,162.44333730853157,5.0399999999999805,5.845983901071204,1.4723918977779584,64.3892801594947,0.07852439617121121,6.037630348906598,0.0,4.335321164044124,1.2193909052087561,13.098532679608617,0.0306213724306839,-0.0963046194760643,0.0,442.07163865962065,442.21637980413857,440.62424417582776,444.35836485258557
31,5119.483294580942,65.19731211070183,5.0399999999999805,-33.45718393208604,-2.332646360385701,54.04793859853898,0.12541731545859403,1.0570295467663762,0.0,-17.666360680636807,0.07228484699612858,3.53673285807178,-0.0062169406841254445,0.49658572976010307,0.0,442.07163865962065,442.21637980413857,440.62424417582776,444.35836485258557
32,4323.75685176432,52.997766902661155,5.0399999999999805,31.3005815296317,-3.253826862461389,52.79891955606266,0.002612641139879912,4.962828073883456,0.0,17.754544401808143,-1.0390507051199196,1.5935630100338756,0.07112332262159476,-0.37228989325754647,0.0,442.07163865962065,442.21637980413857,440.62424417582776,444.35836485258557
33,7183.738137483214,157.30172917359283,5.0399999999999805,-11.62646206466582,-1.4271631523826407,62.88707245695763,0.08669616438244798,0.718041705297094,0.0,-9.874579086482145,-0.736938036659327,10.78326514210336,0.1698560448728212,0.20638630054619875,0.0,442.07163865962065,442.21637980413857,440.62424417582776,444.35836485258557
34,1548.4661886740867,-69.42144184764378,5.0399999999999805,9.311681902498119,-51.26831594918112,33.507104271104275,4.928509725780009,5.291442156897933,0.0,5.887323614352938,-24.202678928610744,-10.473313008205338,-0.12041115243215332,-0.5044754083080666,0.0,442.07163865962065,442.21637980413857,440.62424417582776,444.35836485258557
35,6025.5862038430105,126.32588531344479,5.0399999999999805,13.126805561221001,-3.6420008069985417,61.05227682234241,5.166042543425581,5.723425988156837,0.0,12.399231123059526,-1.7106971750253523,4.559606215731305,18.786569911306064,-0.1382486118368164,0.0,442.07163865962065,442.21637980413857,440.62424417582776,444.35836485258557
36,247.74859776358707,-18.621767133301972,1.4400000000000008,-0.0005534441982924228,1.2462781086603647,0.0,3.751932584801219,6.218598227219989,0.0,0.258959636458499,2.492271402393555,-16.391832145067603,7.167226324998345,-0.1858267255967804,0.0,442.07163865962065,442.21637980413857,440.62424417582776,444.35836485258557
37,95.93908129419312,-17.687266769766097,1.4400000000000008,0.35558152093390366,1.069754019451464,0.0,3.537658661235186,6.204731991295413,0.0,0.9727155190398893,3.5034139567101223,-16.275251635150283,6.222953963975849,-0.03442069843572253,0.0,442.07163865962065,442.21637980413857,440.62424417582776,444.35836485258557
38,123.55395738373835,-15.574329917718899,1.560000000000001,0.31580803147511144,-0.0898050484917751,0.0,2.9268323438568533,6.236027068169591,0.0,0.7747709734386727,4.056103705995449,-14.348622432785643,4.001725605873443,-0.030849165066119223,0.0,442.07163865962065,442.21637980413857,440.62424417582776,444.35836485258557
39,303.43843785902965,-11.580511480460007,1.5000000000000009,-0.31531778933375243,1.9025355804298874,0.0,0.3889561942215707,0.11384704922435951,0.0,-0.8864507068713727,-0.3962423331178356,-15.439306113432833,-9.83876494290556,0.43794929745259525,0.0,442.07163865962065,442.21637980413857,440.62424417582776,444.35836485258557
40,-899.8308791585685,-74.7496615142004,2.4600000000000017,2.4751221018346885,-20.241284615258305,0.0,2.6945849418850774,6.104315541869298,0.0,3.0599071323511775,-4.502282930764867,-13.023337329935195,1.479049190287197,-0.1286774115315701,0.0,442.07163865962065,442.21637980413857,440.62424417582776,444.35836485258557
41,-1109.4550704731128,-149.83303941512816,4.199999999999998,-5.524045552206579,-48.841124205345245,0.0,3.1875355976543887,0.42317881873101193,0.0,-2.423925424706307,-15.458357484895531,-20.327958940315224,-0.6302341379417593,0.15865112167779263,0.0,442.07163865962065,442.21637980413857,440.62424417582776,444.35836485258557
42,8.92399948703137,-19.22438525918904,1.680000000000001,1.221451644370966,-1.5784587631560298,0.0,2.150137671900401,6.013260141537286,0.0,3.1617177153473994,-2.177212722837999,-11.789336805339065,-18.91772447067972,-0.20110896629025882,0.0,442.07163865962065,442.21637980413857,440.62424417582776,444.35836485258557
43,-849.3355184608055,-117.21914461795157,3.1800000000000024,4.1829763626430685,-34.642083989180804,0.0,3.063180403365081,6.010343098153182,0.0,2.7826092426729163,-15.02295813765282,-20.1360332668867,-0.7137927253347723,0.12041832017970414,0.0,442.07163865962065,442.21637980413857,440.62424417582776,444.35836485258557
44,1422.312972915232,-86.73635405150324,5.0399999999999805,-27.674852461498443,-47.9792584452033,29.20640307018976,5.585068786344557,1.1486074599811857,0.0,-15.22360499070328,-18.639400873133475,-13.154828057376417,-13.049585664995,0.28083653292020483,0.0,442.07163865962065,442.21637980413857,440.62424417582776,444.35836485258557
45,-424.17363471002767,-66.42996524943855,2.4600000000000017,-0.07358407672670975,21.257469293028542,0.0,2.794172828213684,0.031723689413439615,0.0,-0.4909925581326181,9.682216168746526,-15.144017285783912,-18.960160692119956,-0.017750205458250137,0.0,442.07163865962065,442.21637980413857,440.62424417582776,444.35836485258557
46,6323.143032858114,122.14319851706824,5.0399999999999805,-15.17348534195528,-5.989878545077802,61.00954486935222,5.976954711062188,1.2283212814756066,0.0,-13.103054204009245,-4.102797505377613,7.547220526597543,-0.02732645174898019,0.5462424860116646,0.0,442.07163865962065,442.21637980413857,440.62424417582776,444.35836485258557
47,370.41981704356436,-85.04977396073552,4.14,-1.6238088960339183,-28.711945671316776,0.0,1.5035626146030632,0.1504100371081769,0.0,-2.176625351439952,4.606727515063667,-23.65796342698874,-1.0638677404070234,0.13332055507482937,0.0,442.07163865962065,442.21637980413857,440.62424417582776,444.35836485258557
48,7244.358286472446,150.72986285220233,5.0399999999999805,-12.74009818278443,0.2911498930828201,63.358451199035024,0.2493644764832048,6.2788784022501405,0.0,-7.171182205659766,2.554746261511787,12.86782085631019,0.11994682674853707,-0.22158183975531548,0.0,442.07163865962065,442.21637980413857,440.62424417582776,444.35836485258557
49,25.040739865416917,-32.35466293386687,2.520000000000002,2.2602706775187937,6.030549492906465,0.0,1.9898574862328573,5.965834391596648,0.0,4.323481466368316,-0.8209974966442508,-15.40368948476465,-16.26338280521968,-0.21227338566894022,0.0,442.07163865962065,442.21637980413857,440.62424417582776,444.35836485258557
50,3492.3428659340207,17.344091044605086,5.0399999999999805,8.460307140305776,-36.981026343263764,49.34429559083202,5.296567244900114,6.030497085530662,0.0,5.314545363818143,-19.480745001539407,-0.1254883312375114,-0.18560961836902398,0.07800045958504317,0.0,442.07163865962065,442.21637980413857,440.62424417582776,444.35836485258557
51,-585.3248176965556,-142.35728894945754,5.0399999999999805,15.010850921997296,-59.59589504621769,18.79204843490816,4.820331718473842,5.931866447731757,0.0,5.5784769483781895,-22.18668314767181,-20.516679805272204,-0.24053755737120505,-0.1057605346863841,0.0,442.07163865962065,442.21637980413857,440.62424417582776,444.35836485258557
52,-328.0082717990295,-136.57937890764444,5.0399999999999805,-13.18648378176092,-58.14429442590754,16.137615878697186,4.4514150027499895,1.6860512166429373,0.0,-15.060211494202331,-15.208824703259223,-17.794240609587188,-0.3197481558660885,0.6758263944934987,0.0,442.07163865962065,442.21637980413857,440.62424417582776,444.35836485258557
